Country,Total_Number_of_Deaths,Average_Fertility_Rate
Aruba,36069,2.43
Afghanistan,18350796,6.99
Angola,14522096,6.87
Albania,1328376,3.26
United Arab Emirates,362723,4.25
Argentina,17416436,2.83
Armenia,1595141,2.49
Antigua and Barbuda,34397,2.56
Australia,8187646,2.14
Austria,6063999,1.73
Azerbaijan,3891128,3.22
Burundi,5683681,6.9
Belgium,7739006,1.84
Benin,5560687,6.25
Burkina Faso,10599094,6.4
Bangladesh,70931672,4.66
Bulgaria,6695168,1.77
Bahrain,149267,4.16
Bahamas,102586,2.73
Bosnia and Herzegovina,2227603,2.04
Belarus,7660997,1.84
Belize,83072,4.59
Bolivia,5889093,4.72
Brazil,73531259,3.35
Barbados,161154,2.24
Brunei,84671,3.65
Bhutan,427758,4.82
Botswana,889245,4.77
Canada,13264687,1.92
Switzerland,4121972,1.7
Chile,6068894,2.72
China,674663262,2.99
Cote d'Ivoire,11601661,6.57
Cameroon,11693742,5.86
Democratic Republic of Congo,38730858,6.46
Congo,1928476,5.39
Colombia,14005397,3.55
Comoros,343446,6.06
Cape Verde,230839,4.94
Costa Rica,1041625,3.36
Cuba,5049096,2.34
Curacao,73833,1.96
Cyprus,394374,2.17
Czechia,8003401,1.77
Germany,62641691,1.6
Djibouti,329489,5.34
Denmark,3680009,1.84
Dominican Republic,3626875,4.08
Algeria,13735857,5.02
Ecuador,4954372,4.18
Egypt,36060269,4.69
Eritrea,1983130,5.88
Spain,22979332,1.87
Estonia,1165640,1.8
Ethiopia,51143554,6.48
Finland,3264007,1.83
Fiji,340181,3.72
France,38168626,2.08
Gabon,896801,4.86
United Kingdom,43964616,1.98
Georgia,3478144,2.21
Ghana,11466802,5.61
Guinea,7844178,6.05
Guadeloupe,198774,0.01
Gambia,930964,5.88
Guinea-Bissau,1201538,5.88
Equatorial Guinea,560152,5.63
Greece,6428740,1.73
Grenada,60185,3.68
Guatemala,5492523,5.24
French Guiana,37963,0.01
Guam,43247,3.39
Guyana,411417,3.75
Hong Kong,2010323,2.03
Honduras,2666480,5.18
Croatia,3535414,1.72
Haiti,6421333,4.97
Hungary,8902571,1.69
Indonesia,112966827,3.69
India,669729140,4.1
Ireland,2218964,2.63
Iran,29785365,4.39
Iraq,9836242,5.71
Iceland,114267,2.43
Israel,1837880,3.22
Italy,38191018,1.68
Jamaica,1164399,3.48
Jordan,1400016,5.67
Japan,61440536,1.65
Kazakhstan,9628128,2.96
Kenya,16901151,6.19
Kyrgyzstan,2507318,3.87
Cambodia,10034668,4.93
Kiribati,51012,4.75
South Korea,20121722,2.46
Kuwait,360596,4.25
Laos,3469720,5.06
Lebanon,1374088,3.46
Liberia,2556307,5.98
Libya,1992225,5.1
Saint Lucia,74331,3.73
Sri Lanka,8223019,3.11
Lesotho,1595420,4.64
Lithuania,2505184,1.87
Luxembourg,280829,1.67
Latvia,2058951,1.7
Macao,116502,1.79
Morocco,14055596,4.45
Moldova,2961984,2.05
Madagascar,10428964,6.03
Maldives,135468,5
Mexico,35871991,4.11
North Macedonia,1152693,2.29
Mali,13155827,6.9
Malta,206133,1.9
Myanmar,32426165,3.98
Montenegro,355919,2.23
Mongolia,1368307,4.66
Mozambique,17052614,6.06
Mauritania,1512836,5.88
Martinique,198136,0.01
Mauritius,508045,2.75
Malawi,9931562,6.49
Malaysia,6929272,3.67
Mayotte,30680,0.01
Namibia,1108086,5.08
New Caledonia,76674,3.3
Niger,10792675,7.59
Nigeria,118206571,6.27
Nicaragua,2205263,4.73
Netherlands,8246873,1.9
Norway,2783711,2.03
Nepal,16632062,4.57
New Zealand,1802569,2.37
Oman,759560,5.78
Pakistan,78599943,5.58
Panama,940273,3.63
Peru,11754894,4.25
Philippines,26711823,4.63
Papua New Guinea,3872264,5.04
Poland,23005907,1.91
Puerto Rico,1598486,2.41
North Korea,11920909,2.73
Portugal,7041311,2
Paraguay,1690794,4.4
Palestine,1015086,4.88
French Polynesia,76777,3.49
Qatar,79054,4.45
Romania,15882287,1.97
Russia,112288023,1.78
Rwanda,7016502,6.73
Saudi Arabia,6040484,5.39
Sudan,14891256,5.98
Senegal,6519011,6.24
Singapore,1026799,2.15
Solomon Islands,149183,5.69
Sierra Leone,6347503,6.13
El Salvador,3213428,4.19
Somalia,8111199,7.13
Serbia,6660893,1.54
Sao Tome and Principe,78739,5.66
Suriname,231233,3.84
Slovakia,3277881,1.97
Slovenia,1278717,1.74
Sweden,6078548,1.87
Eswatini,682207,5.17
Seychelles,37620,2.39
Syria,4964648,5.48
Chad,8233139,6.8
Togo,3451465,6.06
Thailand,27434145,3.06
Tajikistan,3242149,5.13
Turkmenistan,2158283,4.42
Timor,838168,5.42
Tonga,44246,4.99
Trinidad and Tobago,618572,2.75
Tunisia,4922185,4.09
Turkey,33449329,3.7
Taiwan,7777473,0.01
Tanzania,22597742,6.12
Uganda,17136482,6.73
Ukraine,40431120,1.71
Uruguay,2020097,2.48
United States,150770622,2.12
Uzbekistan,10216319,4.23
Saint Vincent and the Grenadines,60598,3.7
Venezuela,7508674,3.79
Vietnam,31737199,3.91
Vanuatu,78446,5.16
Samoa,79057,5.46
Yemen,11386767,7.13
Zambia,7335516,6.4
Zimbabwe,7299049,5.42